Region	Inhabitants	Employee	Employee Primary Sector	Employee Construction	Employee Secondary Sector Rest	Employee Retail	Employee Traffic/Parcels	Employee Tertiary Sector Rest
Bautzen	299758	145078	2701	12463	36673	15557	7815	69868
Cottbus	99678	62019	187	3075	3634	6942	3488	44693
Dahme-Spreewald	170791	78060	2194	6992	9308	13425	6744	39396
Dresden	556780	340806	586	15705	40528	39574	19880	224533
Elbe-Elster	101827	44717	1985	4203	9319	4345	2183	22682
Frankfurt-Oder	57751	38509	310	2283	1603	3507	1762	29045
Görlitz	252725	115613	2238	9505	26917	10710	5380	60862
Meißen	241717	115169	2928	10486	27393	13440	6752	54171
Nordsachsen	197741	93857	2965	9733	17189	13723	6894	43353
Oberspreewald-Lausitz	109371	49738	1001	5564	9568	5435	2731	25439
Oder-Spree	178803	73039	1539	8110	12055	8685	4363	38288
Sächsische Schweiz-Osterzgebirge	245586	103594	2754	11101	24413	10499	5274	49553
Spree-Neiße	113720	45390	1904	5592	11473	4768	2395	19257
Teltow-Fläming	169997	80279	1922	6596	17450	12224	6141	35946
Wittenberg	124953	53522	1884	4927	13011	5727	2877	25096
